movieId,title,imdbId,tmdbId,genre,original_language,popularity,release_date,vote_average,vote_count,genre_1,genre_2,genre_3,genre_4,genre_5,release_year,release_month,release_day,movie_avg_rating,movie_rating_stddev,movie_rating_count
1,Toy Story (1995),0114709,862,"Animation,Adventure,Family,Comedy",en,218.376,1995-10-30,8.0,15623,Animation,Adventure,Family,Comedy,None,1995,10,30,3.9209302325581397,0.8348591407114045,215
2,Jumanji (1995),0113497,8844,"Adventure,Fantasy,Family",en,22.658,1995-12-15,7.2,9088,Adventure,Fantasy,Family,None,None,1995,12,15,3.4318181818181817,0.8817134921476453,110
3,Grumpier Old Men (1995),0113228,15602,"Romance,Comedy",en,7.896,1995-12-22,6.4,299,Romance,Comedy,None,None,None,1995,12,22,3.2596153846153846,1.0548226531330254,52
5,Father of the Bride Part II (1995),0113041,11862,"Comedy,Family",en,13.076,1995-12-08,6.2,592,Comedy,Family,None,None,None,1995,12,8,3.0714285714285716,0.9071475440448852,49
6,Heat (1995),0113277,949,"Action,Crime,Drama,Thriller",en,66.459,1995-12-15,7.9,5629,Action,Crime,Drama,Thriller,None,1995,12,15,3.946078431372549,0.8172244221533347,102
7,Sabrina (1995),0114319,11860,"Comedy,Romance",en,14.96,1995-12-15,6.1,490,Comedy,Romance,None,None,None,1995,12,15,3.185185185185185,0.9775609631923282,54
9,Sudden Death (1995),0114576,9091,"Action,Adventure,Thriller,Drama",en,13.72,1995-10-27,5.9,554,Action,Adventure,Thriller,Drama,None,1995,10,27,3.125,0.9746794344808964,16
10,GoldenEye (1995),0113189,710,"Adventure,Action,Thriller",en,24.727,1995-11-16,6.9,3164,Adventure,Action,Thriller,None,None,1995,11,16,3.496212121212121,0.8593806844280277,132
11,"American President, The (1995)",0112346,9087,"Comedy,Drama,Romance",en,12.153,1995-11-17,6.6,568,Comedy,Drama,Romance,None,None,1995,11,17,3.6714285714285713,0.900425480286211,70
12,Dracula: Dead and Loving It (1995),0112896,12110,"Comedy,Horror,Fantasy",en,12.964,1995-12-22,6.0,760,Comedy,Horror,Fantasy,None,None,1995,12,22,2.4210526315789473,1.2501461902817699,19
13,Balto (1995),0112453,21032,"Family,Animation,Adventure",en,17.824,1995-12-22,7.3,1728,Family,Animation,Adventure,None,None,1995,12,22,3.125,0.6408699444616557,8
14,Nixon (1995),0113987,10858,"Drama,History",en,6.464,1995-12-22,6.9,266,Drama,History,None,None,None,1995,12,22,3.8333333333333335,0.7071067811865478,18
15,Cutthroat Island (1995),0112760,1408,"Action,Adventure",en,10.035,1995-12-22,5.8,425,Action,Adventure,None,None,None,1995,12,22,3.0,1.2076147288491197,13
16,Casino (1995),0112641,524,"Crime,Drama",en,20.493,1995-11-22,8.0,4582,Crime,Drama,None,None,None,1995,11,22,3.926829268292683,0.8858348619181693,82
17,Sense and Sensibility (1995),0114388,4584,"Drama,Romance",en,16.794,1995-12-13,7.5,1342,Drama,Romance,None,None,None,1995,12,13,3.7761194029850746,1.1457549518851469,67
18,Four Rooms (1995),0113101,5,"Crime,Comedy",en,12.665,1995-12-09,5.7,2185,Crime,Comedy,None,None,None,1995,12,9,3.7,0.9090191359227177,20
19,Ace Ventura: When Nature Calls (1995),0112281,9273,"Crime,Comedy,Adventure",en,28.877,1995-11-10,6.3,3421,Crime,Comedy,Adventure,None,None,1995,11,10,2.727272727272727,1.0637957708161232,88
20,Money Train (1995),0113845,11517,"Action,Comedy,Crime",en,9.005,1995-11-21,5.8,616,Action,Comedy,Crime,None,None,1995,11,21,2.5,0.9819805060619657,15
21,Get Shorty (1995),0113161,8012,"Comedy,Thriller,Crime",en,14.529,1995-10-20,6.5,805,Comedy,Thriller,Crime,None,None,1995,10,20,3.49438202247191,0.8676456585288979,89
22,Copycat (1995),0112722,1710,"Thriller,Crime",en,14.184,1995-05-03,6.5,737,Thriller,Crime,None,None,None,1995,5,3,3.2222222222222223,0.8232726023485646,36
23,Assassins (1995),0112401,9691,"Action,Adventure,Crime,Thriller",en,16.691,1995-10-06,6.5,1249,Action,Adventure,Crime,Thriller,None,1995,10,6,3.125,1.118033988749895,16
24,Powder (1995),0114168,12665,"Drama,Fantasy,Science Fiction,Thriller",en,15.609,1995-10-27,6.9,470,Drama,Fantasy,Science Fiction,Thriller,None,1995,10,27,3.125,1.0149347725802838,28
25,Leaving Las Vegas (1995),0113627,451,"Drama,Romance",en,18.861,1995-10-27,7.3,1098,Drama,Romance,None,None,None,1995,10,27,3.625,1.116915395184434,76
27,Now and Then (1995),0114011,9263,"Comedy,Drama,Romance",en,9.268,1995-10-20,6.9,350,Comedy,Drama,Romance,None,None,1995,10,20,3.3333333333333335,1.1989578808281798,9
